Idioma,Abreviacao
Hindi,hi
Pachto,ps
Português,pt
Hmong,hmn
Croata,hr
Crioulohaitiano,ht
Húngaro,hu
Iídiche,yi
Armênio,hy
Ioruba,yo
Indonésio,id
Igbo,ig
Africâner,af
Islandês,is
Italiano,it
Amárico,am
Hebraico,iw
Árabe,ar
Japonês,ja
Azerbaijano,az
Zulu,zu
Romeno,ro
Cebuano,ceb
Bielorusso,be
Russo,ru
Búlgaro,bg
Kinyarwanda,rw
Bengali,bn
Javanês,jw
Bósnio,bs
Sindi,sd
Cingalês,si
Georgiano,ka
Eslovaco,sk
Esloveno,sl
Samoano,sm
Chona,sn
Somali,so
Albanês,sq
Catalão,ca
Sérvio,sr
Cazaque,kk
Sessoto,st
Khmer,km
Sundanês,su
Canarês,kn
Sueco,sv
Coreano,ko
Suaíle,sw
Curdo,ku
Corso,co
Tâmil,ta
Quirguiz,ky
Tcheco,cs
Telugo,te
Tadjique,tg
Tailandês,th
Latim,la
Galês,cy
Luxemburguês,lb
Turcomano,tk
Filipino,tl
Dinamarquês,da
Turco,tr
Tártaro,tt
Alemão,de
Laosiano,lo
Lituano,lt
Letão,lv
Chinês,zh-CN
Uigur,ug
Ucraniano,uk
Malgaxe, mg
Maori,mi
Urdu,ur
Macedônio,mk
Havaiano,haw
Malaiala,ml
Mongol,mn
Marata,mr
Uzbeque,uz
Malaio,ms
Grego,el
Maltês,mt
Inglês,en
Esperanto,eo
Birmanês,my
Espanhol,es
Estoniano,et
Basco,eu
Vietnamita,vi
Nepalês,ne
Persa,fa
Holandês,nl
Norueguês,no
Finlandês,fi
Chicheua,ny
Francês,fr
Frísio,fy
Irlandês,ga
Gaélicoescocês,gd
Oriá,or
Galego,gl
Guzerate,gu
Xhosa,xh
Punjabi,pa
Hauçá,ha
Polonês,pl
